raw,clean,note
id,id,POLIS row Id; dedup key
env_sample_id,env_sample_id,environmental sample identifier
last_update_date,last_update_date,POLIS update timestamp; dedup recency key
date_collection,date_collection,
,year_collection,derived from date_collection
,month_collection,derived from date_collection
site_name,site_name,
site_code,site_code,
admin0_name,adm0,
admin1_name,adm1,
admin2_name,adm2,
admin0_guid,adm0_guid,
admin1_guid,adm1_guid,
admin2_guid,adm2_guid,
country_iso3_code,country_iso3,
who_region,who_region,
latitude,lat,
longitude,lon,
final_result,result,sample final result
