raw,clean,note
id,id,POLIS row Id; dedup key
sia_sub_activity_code,sia_code,SIA sub-activity code
last_update_date,last_update_date,POLIS update timestamp; dedup recency key
date_start,date_start,
date_end,date_end,
,year_start,derived from date_start
,month_start,derived from date_start
vaccine_type,vaccine_type,
activity_status,activity_status,
admin0_name,adm0,
admin1_name,adm1,
admin2_name,adm2,
admin0_guid,adm0_guid,
admin1_guid,adm1_guid,
admin2_guid,adm2_guid,
country_iso3_code,country_iso3,
who_region,who_region,
